centroide,CoordX,CoordY,S1-III,S1-IV,TS(TL),TS(TC),M1.2,M1.1,G1.1,G1.2,A1.1,A1.2,TL,P,TS(S2)IV,TS(S2)III,TS(S2)V,S1-V,CN,S1-VII,M2.1,M2.2,TS(S2)VI
FA50-35_2,5230490.732,5515458.595,-26,,,,-41,-42,-45,-33,,,,,,,,,-33,,,,
FA80-40_2,5303740.684,5705982.731,-23,,,,-44,-50,-48,-30,,,,-52,,,,,,,,,
FA90-35_1,5222223.178,5706486.351,-14,,,,-38,-45,-42,-22,,,,,,,,,-28,,,,
FA90-30_1,5279921.394,5543159.418,-25,,,,-45,-51,-50,-32,,,,,,,,,-44,,,,
FAr100-40_1,5301272.812,5742952.268,-6,,,,-35,-45,-40,-15,,,,-54,,,,,,,,,
FAr100-40_2,5248543.176,5770517.153,19,,,,-15,-24,-22,8,,,,,,,,,-2,,,,
FAr100-40_8,5385373.954,5739352.643,18,,,,-12,-21,-29,-1,,,,-28,,56,,,,,,,
FAr20-35_1,5307099.168,5876179.477,,-50,,,-57,-48,-58,-60,,,,-49,3,,,,,,-34,,
FArL100-40_1,5694701.74,6115304.228,,27,,,-1,3,-6,-1,,,,-6,57,,,,,,,,
FL100-45_3,5635947.016,5769247.209,31,,,,10,3,-4,18,,,,4,,52,,,,,,,
FL100-40_10,5472017.784,5791768.835,42,,,,19,11,3,28,,,,14,,61,,,,,,,
FL100-40_11,5497017.486,5823262.391,45,,,,25,19,12,32,,,,22,,62,,,,,,,
FL100-40_5,5426378.155,5777823.472,17,,,,-9,-17,-24,1,,,,-21,,46,,,,,,,
FL100-40_15,5667819.264,6015754.365,,2,,,-21,-19,-25,-20,,,,-23,24,,,,,,,,
FL100-40_18,5648494.932,6092825.42,,3,,,-21,-19,-25,-20,,,,-26,28,,,,,,,,
FL100-50_25,5478124.493,6164158.34,,,,,-8,-3,-6,-16,,,,-16,,,30,-5,,,23,,
FL100-45_2,5663379.718,6109096.538,,16,,,-7,-5,-12,-7,,,,-9,39,,,,,,,,
FL100-40_24,5649500.536,6019856.969,,2,,,-21,-19,-26,-20,,,,-23,23,,,,,,,,
FL100-35_16,5525327.673,5826739.018,48,,,,29,24,17,36,,,,28,,65,,,,,,,
FL100-50_15,5515010.091,6120545.699,,,,,-12,-8,-11,-20,,,,-23,,,30,-7,,,23,,
FL100-55_6,5504173.512,6183171.637,,,,,-2,3,0,-11,,,,-10,,,34,0,,,27,,
FL100-40_9,5701075.182,6048607.738,,2,,,-20,-19,-25,-19,,,,-23,24,,,,,,,,
FL100-35_27,5566571.702,6133255.659,,0,,,-22,-22,-26,-22,,,,-30,25,,,,,,,,
FL100-50_16,5528376.058,6181243.528,,,,,-4,2,-2,-12,,,,-12,,,34,-1,,,27,,
FL100-40_13,5683867.769,6095855.353,,14,,,-10,-8,-14,-9,,,,-12,37,,,,,,,,
FL100-60_1,5464117.717,6287457.412,,,,,-7,-4,-7,-13,,,,-19,,,34,-1,,,26,,
FL100-60_2,5502198.69,6276936.165,,,,,7,14,11,-4,,,,0,,,39,4,,,32,,
FL100-55_7,5519143.172,5899289.033,26,,,,6,-1,-7,13,,,,2,,48,,,,,,,
FL100-40_12,5537965.963,5985100.008,12,,,,-8,-14,-20,0,,,,-14,,35,,,,,,,
FL100-55_1,5314607.568,5751836.777,-7,,,,-31,-41,-36,-14,,,,-50,,,,,,,,,
FL100-55_13,5623368.964,5787419.863,35,,,,16,9,2,23,,,,9,,54,,,,,,,
FL100-50_14,5493541.085,5778768.69,38,,,,15,6,-1,24,,,,8,,57,,,,,,,
FL100-40_8,5550276.255,5777789.21,35,,,,14,7,0,22,,,,8,,55,,,,,,,
FL100-35_29,5370081.671,5920924.986,,5,,,-20,-16,-24,-21,,,,-22,34,,,,,,,,
FL100-55_2,5268194.033,5774920.189,14,,,,-15,-23,-22,5,,,,-29,,,,,,,,,
